Flow Timestamps,Flow (L/min),CO2 Timestamps,CO2% (ppm),Volume Exhaled Timestamps,Volume Exhaled (L),VCO2/BV Timestamps,Vol CO2 / Vol Breath,CO2 Peak timestamps,CO2 Peak (ppm)
2022-10-13 09:45:35.104246,-0.0,2022-10-13 09:45:35.121917,1900.0,2022-10-13 09:45:45.131591,1.9290333333333327,2022-10-13 09:45:47.331263,16.541542039725964,2022-10-13 09:45:47.331263,67240.0
2022-10-13 09:45:35.149377,-0.02,2022-10-13 09:45:35.164263,1740.0,2022-10-13 09:45:45.593193,0.0656583333333333,2022-10-13 09:45:57.103864,16.085609397828044,2022-10-13 09:45:57.103864,68880.0
2022-10-13 09:45:35.194928,-0.0,2022-10-13 09:45:35.210928,1650.0,2022-10-13 09:45:46.160679,0.1006333333333333,2022-10-13 09:46:07.064971,16.089437699640435,2022-10-13 09:46:07.064971,69080.0
2022-10-13 09:45:35.240206,-0.03,2022-10-13 09:45:35.262082,1680.0,2022-10-13 09:45:46.301083,0.0175166666666666,2022-10-13 09:46:16.788156,16.686437910152836,2022-10-13 09:46:16.788156,67680.0
2022-10-13 09:45:35.286492,-0.03,2022-10-13 09:45:35.305330,1770.0,2022-10-13 09:45:55.451408,2.0078166666666672,2022-10-13 09:46:26.473855,16.770202214521056,2022-10-13 09:46:26.473855,65690.0
2022-10-13 09:45:35.332496,-0.03,2022-10-13 09:45:35.353028,1860.0,2022-10-13 09:45:55.739768,0.0281083333333333,2022-10-13 09:46:36.329253,17.242546951841582,2022-10-13 09:46:36.329253,64700.0
2022-10-13 09:45:35.381565,-0.03,2022-10-13 09:45:35.401106,1960.0,2022-10-13 09:45:56.142238,0.0181833333333333,2022-10-13 09:46:46.742166,17.202090427086997,2022-10-13 09:46:46.743118,63620.0
2022-10-13 09:45:35.432127,-0.03,2022-10-13 09:45:35.454106,1990.0,2022-10-13 09:45:56.594719,0.01675,2022-10-13 09:46:56.894740,17.73043061191223,2022-10-13 09:46:56.895749,61510.0
2022-10-13 09:45:35.559125,-0.05,2022-10-13 09:45:35.560090,1760.0,2022-10-13 09:46:01.495039,0.0171,2022-10-13 09:47:06.479788,18.124969237209115,2022-10-13 09:47:06.479788,61980.0
2022-10-13 09:45:35.563085,-0.06,2022-10-13 09:45:35.575091,1660.0,2022-10-13 09:46:05.535843,2.10475,2022-10-13 09:47:16.547581,18.248620759802822,2022-10-13 09:47:16.548588,60090.0
2022-10-13 09:45:35.582094,-0.07,2022-10-13 09:45:35.608681,1830.0,2022-10-13 09:46:14.924629,1.887516666666667,,,,
2022-10-13 09:45:35.652115,-0.08,2022-10-13 09:45:35.669181,1980.0,2022-10-13 09:46:16.070300,0.1875916666666666,,,,
2022-10-13 09:45:35.704497,-0.08,2022-10-13 09:45:35.711502,1840.0,2022-10-13 09:46:21.224214,0.0174166666666666,,,,
2022-10-13 09:45:35.760301,-0.06,2022-10-13 09:45:35.753283,1680.0,2022-10-13 09:46:25.042155,2.0282250000000013,,,,
2022-10-13 09:45:35.807165,-0.04,2022-10-13 09:45:35.801092,1760.0,2022-10-13 09:46:30.764003,0.01925,,,,
2022-10-13 09:45:35.857022,-0.04,2022-10-13 09:45:35.848982,1900.0,2022-10-13 09:46:34.617354,1.9393166666666668,,,,
2022-10-13 09:45:35.904145,-0.03,2022-10-13 09:45:35.897154,1840.0,2022-10-13 09:46:34.987731,0.0571833333333333,,,,
2022-10-13 09:45:35.958232,-0.03,2022-10-13 09:45:35.945194,1650.0,2022-10-13 09:46:35.867959,0.028925,,,,
2022-10-13 09:45:36.004140,-0.04,2022-10-13 09:45:35.993140,1580.0,2022-10-13 09:46:40.992098,0.0173166666666666,,,,
2022-10-13 09:45:36.050205,-0.04,2022-10-13 09:45:36.041142,1740.0,2022-10-13 09:46:44.431010,2.040325,,,,
2022-10-13 09:45:36.096308,-0.02,2022-10-13 09:45:36.088180,1700.0,2022-10-13 09:46:44.875485,0.0279666666666666,,,,
2022-10-13 09:45:36.141881,-0.02,2022-10-13 09:45:36.136851,1720.0,2022-10-13 09:46:50.705333,0.01795,,,,
2022-10-13 09:45:36.188290,0.01,2022-10-13 09:45:36.207293,1770.0,2022-10-13 09:46:54.753503,1.9718083333333345,,,,
2022-10-13 09:45:36.234455,0.04,2022-10-13 09:45:36.250984,1770.0,2022-10-13 09:46:55.702113,0.0304666666666666,,,,
2022-10-13 09:45:36.282078,0.02,2022-10-13 09:45:36.298139,1800.0,2022-10-13 09:47:01.258916,0.082525,,,,
2022-10-13 09:45:36.332413,0.02,2022-10-13 09:45:36.350619,1740.0,2022-10-13 09:47:04.469191,2.0335500000000004,,,,
2022-10-13 09:45:36.382153,-0.07,2022-10-13 09:45:36.400268,1740.0,2022-10-13 09:47:14.459835,1.9795333333333331,,,,
2022-10-13 09:45:36.431333,-0.15,2022-10-13 09:45:36.449505,1830.0,2022-10-13 09:47:19.813588,0.0189833333333333,,,,
2022-10-13 09:45:36.482628,-0.2,2022-10-13 09:45:36.498271,1800.0,2022-10-13 09:47:20.465865,0.3114083333333333,,,,
2022-10-13 09:45:36.533989,-0.26,2022-10-13 09:45:36.549291,1770.0,,,,,,
2022-10-13 09:45:36.579701,-0.32,2022-10-13 09:45:36.599119,1790.0,,,,,,
2022-10-13 09:45:36.628711,-0.36,2022-10-13 09:45:36.646449,1790.0,,,,,,
2022-10-13 09:45:36.686494,-0.38,2022-10-13 09:45:36.680432,1980.0,,,,,,
2022-10-13 09:45:36.735842,-0.55,2022-10-13 09:45:36.728802,1920.0,,,,,,
2022-10-13 09:45:36.804442,-0.83,2022-10-13 09:45:36.776537,1710.0,,,,,,
2022-10-13 09:45:36.854562,-1.25,2022-10-13 09:45:36.824811,1600.0,,,,,,
2022-10-13 09:45:36.904457,-0.81,2022-10-13 09:45:36.872748,1590.0,,,,,,
2022-10-13 09:45:36.954354,0.23,2022-10-13 09:45:36.936303,1810.0,,,,,,
2022-10-13 09:45:37.004174,0.22,2022-10-13 09:45:36.984393,1840.0,,,,,,
2022-10-13 09:45:37.058180,0.98,2022-10-13 09:45:37.032327,1740.0,,,,,,
2022-10-13 09:45:37.104729,2.44,2022-10-13 09:45:37.080275,1830.0,,,,,,
2022-10-13 09:45:37.149963,2.77,2022-10-13 09:45:37.127878,2010.0,,,,,,
2022-10-13 09:45:37.195523,2.45,2022-10-13 09:45:37.176783,1950.0,,,,,,
2022-10-13 09:45:37.241771,2.62,2022-10-13 09:45:37.224395,1800.0,,,,,,
2022-10-13 09:45:37.287567,3.03,2022-10-13 09:45:37.272039,1950.0,,,,,,
2022-10-13 09:45:37.333322,3.13,2022-10-13 09:45:37.320054,2090.0,,,,,,
