Flow Timestamps,Flow (L/min),CO2 Timestamps,CO2% (ppm),Volume Exhaled Timestamps,Volume Exhaled (L),VCO2/BV Timestamps,Vol CO2 / Vol Breath,CO2 Peak timestamps,CO2 Peak (ppm)
2022-10-20 09:58:36.854534,-0.0,2022-10-20 09:58:36.871243,13980.0,2022-10-20 09:58:47.581782,1.2895333333333334,2022-10-20 09:58:48.365359,25.722833485346705,2022-10-20 09:58:48.366359,46870.0
2022-10-20 09:58:36.904519,-0.0,2022-10-20 09:58:36.923219,14090.0,2022-10-20 09:58:56.338187,1.417183333333334,2022-10-20 09:58:56.953058,25.963441523683983,2022-10-20 09:58:56.954061,46400.0
2022-10-20 09:58:36.954080,-0.02,2022-10-20 09:58:36.973010,14290.0,2022-10-20 09:59:04.325164,1.5196083333333328,2022-10-20 09:59:05.060325,25.99782747030351,2022-10-20 09:59:05.060325,45420.0
2022-10-20 09:58:37.004063,-0.07,2022-10-20 09:58:37.028331,14880.0,2022-10-20 09:59:11.931084,1.4678250000000002,2022-10-20 09:59:12.628125,27.300053799306024,2022-10-20 09:59:12.629112,42120.0
2022-10-20 09:58:37.053388,-0.03,2022-10-20 09:58:37.076427,14750.0,2022-10-20 09:59:19.602586,1.3951500000000003,2022-10-20 09:59:20.388957,26.340369433973013,2022-10-20 09:59:20.388957,43980.0
2022-10-20 09:58:37.103607,-0.04,2022-10-20 09:58:37.124329,14250.0,2022-10-20 09:59:27.526350,1.5565333333333349,2022-10-20 09:59:28.487593,26.3524853216306,2022-10-20 09:59:28.487593,43710.0
2022-10-20 09:58:37.154151,-0.03,2022-10-20 09:58:37.172832,14570.0,2022-10-20 09:59:37.115247,1.70685,2022-10-20 09:59:37.817570,27.392806075572643,2022-10-20 09:59:37.817570,43770.0
2022-10-20 09:58:37.205108,-0.01,2022-10-20 09:58:37.223391,14660.0,2022-10-20 09:59:45.580179,1.631275000000001,2022-10-20 09:59:47.004165,27.41440339736407,2022-10-20 09:59:47.005170,42190.0
2022-10-20 09:58:37.251390,-0.02,2022-10-20 09:58:37.268236,14660.0,2022-10-20 09:59:55.761006,1.6467666666666665,2022-10-20 09:59:56.727231,27.67942934638796,2022-10-20 09:59:56.727231,43180.0
2022-10-20 09:58:37.301299,-0.03,2022-10-20 09:58:37.320313,14680.0,2022-10-20 10:00:05.017405,1.7566250000000003,2022-10-20 10:00:06.305424,27.4068932454571,2022-10-20 10:00:06.306409,41650.0
2022-10-20 09:58:37.354169,-0.03,2022-10-20 09:58:37.372362,14660.0,,,,,,
2022-10-20 09:58:37.403510,-0.06,2022-10-20 09:58:37.419474,14500.0,,,,,,
2022-10-20 09:58:37.456236,-0.08,2022-10-20 09:58:37.472831,14270.0,,,,,,
2022-10-20 09:58:37.505660,-0.04,2022-10-20 09:58:37.521832,14320.0,,,,,,
2022-10-20 09:58:37.555353,-0.05,2022-10-20 09:58:37.561287,14380.0,,,,,,
2022-10-20 09:58:37.610525,-0.07,2022-10-20 09:58:37.604462,14090.0,,,,,,
2022-10-20 09:58:37.661221,-0.05,2022-10-20 09:58:37.652045,14110.0,,,,,,
2022-10-20 09:58:37.707269,-0.04,2022-10-20 09:58:37.700080,14750.0,,,,,,
2022-10-20 09:58:37.752265,-0.03,2022-10-20 09:58:37.772197,14660.0,,,,,,
2022-10-20 09:58:37.799061,-0.02,2022-10-20 09:58:37.814040,14500.0,,,,,,
2022-10-20 09:58:37.849452,-0.01,2022-10-20 09:58:37.867528,14820.0,,,,,,
2022-10-20 09:58:37.902219,-0.03,2022-10-20 09:58:37.917668,14660.0,,,,,,
2022-10-20 09:58:37.952125,-0.05,2022-10-20 09:58:37.964803,14360.0,,,,,,
2022-10-20 09:58:38.001959,-0.03,2022-10-20 09:58:38.017721,14660.0,,,,,,
2022-10-20 09:58:38.052133,-0.04,2022-10-20 09:58:38.058749,15000.0,,,,,,
2022-10-20 09:58:38.105147,-0.05,2022-10-20 09:58:38.100137,14640.0,,,,,,
2022-10-20 09:58:38.154467,-0.05,2022-10-20 09:58:38.147464,14410.0,,,,,,
2022-10-20 09:58:38.208343,-0.04,2022-10-20 09:58:38.195913,14840.0,,,,,,
2022-10-20 09:58:38.256276,-0.06,2022-10-20 09:58:38.243258,15060.0,,,,,,
2022-10-20 09:58:38.306138,-0.05,2022-10-20 09:58:38.292066,14750.0,,,,,,
2022-10-20 09:58:38.358416,-0.04,2022-10-20 09:58:38.339741,14430.0,,,,,,
2022-10-20 09:58:38.408275,-0.03,2022-10-20 09:58:38.388010,14060.0,,,,,,
2022-10-20 09:58:38.458289,-0.02,2022-10-20 09:58:38.451538,14180.0,,,,,,
2022-10-20 09:58:38.508403,-0.01,2022-10-20 09:58:38.499415,14020.0,,,,,,
2022-10-20 09:58:38.557576,-0.02,2022-10-20 09:58:38.547483,14130.0,,,,,,
2022-10-20 09:58:38.607640,-0.03,2022-10-20 09:58:38.595569,14430.0,,,,,,
2022-10-20 09:58:38.662137,-0.03,2022-10-20 09:58:38.643438,14730.0,,,,,,
2022-10-20 09:58:38.708316,-0.01,2022-10-20 09:58:38.691613,14520.0,,,,,,
2022-10-20 09:58:38.753698,-0.01,2022-10-20 09:58:38.739504,14450.0,,,,,,
2022-10-20 09:58:38.800419,-0.01,2022-10-20 09:58:38.787498,14610.0,,,,,,
2022-10-20 09:58:38.853001,0.01,2022-10-20 09:58:38.835713,14590.0,,,,,,
2022-10-20 09:58:38.902806,-0.0,2022-10-20 09:58:38.883746,14590.0,,,,,,
2022-10-20 09:58:38.952915,0.0,2022-10-20 09:58:38.931288,14610.0,,,,,,
2022-10-20 09:58:39.001992,-0.03,2022-10-20 09:58:38.979699,14700.0,,,,,,
2022-10-20 09:58:39.052739,-0.06,2022-10-20 09:58:39.026912,14660.0,,,,,,
2022-10-20 09:58:39.102744,0.16,2022-10-20 09:58:39.075764,14750.0,,,,,,
2022-10-20 09:58:39.152469,0.53,2022-10-20 09:58:39.139132,14930.0,,,,,,
2022-10-20 09:58:39.203227,0.39,2022-10-20 09:58:39.187106,15050.0,,,,,,
2022-10-20 09:58:39.256663,0.49,2022-10-20 09:58:39.235102,14680.0,,,,,,
2022-10-20 09:58:39.301792,0.77,2022-10-20 09:58:39.283065,14430.0,,,,,,
2022-10-20 09:58:39.351347,0.92,2022-10-20 09:58:39.330943,14570.0,,,,,,
2022-10-20 09:58:39.403336,0.75,2022-10-20 09:58:39.379290,14930.0,,,,,,
2022-10-20 09:58:39.452513,0.67,2022-10-20 09:58:39.427358,15060.0,,,,,,
2022-10-20 09:58:39.502959,0.54,2022-10-20 09:58:39.475074,14960.0,,,,,,
2022-10-20 09:58:39.553169,0.5,2022-10-20 09:58:39.522996,15100.0,,,,,,
2022-10-20 09:58:39.602886,0.6,2022-10-20 09:58:39.571984,14910.0,,,,,,
2022-10-20 09:58:39.655032,0.63,2022-10-20 09:58:39.618902,14860.0,,,,,,
2022-10-20 09:58:39.706036,0.38,2022-10-20 09:58:39.674486,14910.0,,,,,,
2022-10-20 09:58:39.751206,0.24,2022-10-20 09:58:39.723520,14480.0,,,,,,
2022-10-20 09:58:39.800283,0.19,2022-10-20 09:58:39.768254,14430.0,,,,,,
2022-10-20 09:58:39.849819,0.15,2022-10-20 09:58:39.826899,14790.0,,,,,,
2022-10-20 09:58:39.902492,0.08,2022-10-20 09:58:39.874816,15440.0,,,,,,
2022-10-20 09:58:39.952518,0.06,2022-10-20 09:58:39.922806,15580.0,,,,,,
2022-10-20 09:58:40.002232,0.04,2022-10-20 09:58:39.970626,15630.0,,,,,,
2022-10-20 09:58:40.052155,0.06,2022-10-20 09:58:40.020238,15630.0,,,,,,
2022-10-20 09:58:40.102445,0.13,2022-10-20 09:58:40.070665,15220.0,,,,,,
2022-10-20 09:58:40.152154,0.14,2022-10-20 09:58:40.117260,14910.0,,,,,,
2022-10-20 09:58:40.202685,0.11,2022-10-20 09:58:40.171167,14820.0,,,,,,
2022-10-20 09:58:40.255407,0.1,2022-10-20 09:58:40.222133,15190.0,,,,,,
2022-10-20 09:58:40.305736,0.01,2022-10-20 09:58:40.272409,15100.0,,,,,,
2022-10-20 09:58:40.351627,-0.14,2022-10-20 09:58:40.313659,15070.0,,,,,,
2022-10-20 09:58:40.404057,-0.19,2022-10-20 09:58:40.369016,15220.0,,,,,,
2022-10-20 09:58:40.454443,-0.85,2022-10-20 09:58:40.403054,15050.0,,,,,,
2022-10-20 09:58:40.507361,-3.26,2022-10-20 09:58:40.450445,15170.0,,,,,,
2022-10-20 09:58:40.556780,-5.98,2022-10-20 09:58:40.523396,15190.0,,,,,,
2022-10-20 09:58:40.605327,-8.01,2022-10-20 09:58:40.572141,15440.0,,,,,,
2022-10-20 09:58:40.656197,-11.29,2022-10-20 09:58:40.619197,15480.0,,,,,,
2022-10-20 09:58:40.709343,-15.52,2022-10-20 09:58:40.664204,15460.0,,,,,,
2022-10-20 09:58:40.752693,-17.32,2022-10-20 09:58:40.706340,15150.0,,,,,,
2022-10-20 09:58:40.798349,-19.31,2022-10-20 09:58:40.759696,15120.0,,,,,,
2022-10-20 09:58:40.846477,-21.34,2022-10-20 09:58:40.812216,15310.0,,,,,,
2022-10-20 09:58:40.901689,-23.65,2022-10-20 09:58:40.862680,15120.0,,,,,,
2022-10-20 09:58:40.953456,-24.95,2022-10-20 09:58:40.898684,14720.0,,,,,,
2022-10-20 09:58:41.001155,-27.83,2022-10-20 09:58:40.946501,14150.0,,,,,,
2022-10-20 09:58:41.050150,-30.38,2022-10-20 09:58:40.994293,13290.0,,,,,,
2022-10-20 09:58:41.098583,-31.07,2022-10-20 09:58:41.042147,11970.0,,,,,,
2022-10-20 09:58:41.148827,-31.34,2022-10-20 09:58:41.113072,10560.0,,,,,,
2022-10-20 09:58:41.200107,-30.84,2022-10-20 09:58:41.165284,8990.0,,,,,,
2022-10-20 09:58:41.247510,-29.42,2022-10-20 09:58:41.217307,7470.0,,,,,,
2022-10-20 09:58:41.295682,-29.23,2022-10-20 09:58:41.262641,6370.0,,,,,,
2022-10-20 09:58:41.350231,-29.21,2022-10-20 09:58:41.300652,5670.0,,,,,,
2022-10-20 09:58:41.401009,-29.64,2022-10-20 09:58:41.345180,5070.0,,,,,,
2022-10-20 09:58:41.554500,-28.65,2022-10-20 09:58:41.393950,4460.0,,,,,,
2022-10-20 09:58:41.558505,-27.71,2022-10-20 09:58:41.442166,3870.0,,,,,,
2022-10-20 09:58:41.561504,-26.74,2022-10-20 09:58:41.555543,3470.0,,,,,,
2022-10-20 09:58:41.607538,-26.7,2022-10-20 09:58:41.558505,3160.0,,,,,,
2022-10-20 09:58:41.657645,-24.85,2022-10-20 09:58:41.585755,2920.0,,,,,,
2022-10-20 09:58:41.711081,-23.32,2022-10-20 09:58:41.633764,2510.0,,,,,,
2022-10-20 09:58:41.760770,-22.77,2022-10-20 09:58:41.682029,2340.0,,,,,,
2022-10-20 09:58:41.811116,-21.9,2022-10-20 09:58:41.729725,2330.0,,,,,,
2022-10-20 09:58:41.864205,-22.27,2022-10-20 09:58:41.777796,2150.0,,,,,,
2022-10-20 09:58:41.913818,-23.12,2022-10-20 09:58:41.827117,2100.0,,,,,,
2022-10-20 09:58:41.963320,-21.85,2022-10-20 09:58:41.882728,2150.0,,,,,,
2022-10-20 09:58:42.013811,-21.21,2022-10-20 09:58:41.936836,1940.0,,,,,,
2022-10-20 09:58:42.063656,-20.46,2022-10-20 09:58:41.985415,1590.0,,,,,,
2022-10-20 09:58:42.113462,-19.85,2022-10-20 09:58:42.033498,1610.0,,,,,,
2022-10-20 09:58:42.163198,-19.22,2022-10-20 09:58:42.081365,1720.0,,,,,,
2022-10-20 09:58:42.214563,-19.39,2022-10-20 09:58:42.131185,1730.0,,,,,,
2022-10-20 09:58:42.263800,-18.25,2022-10-20 09:58:42.182297,1810.0,,,,,,
2022-10-20 09:58:42.312387,-15.87,2022-10-20 09:58:42.233695,1550.0,,,,,,
2022-10-20 09:58:42.365241,-12.73,2022-10-20 09:58:42.281077,1360.0,,,,,,
2022-10-20 09:58:42.415822,-13.25,2022-10-20 09:58:42.328921,1370.0,,,,,,
2022-10-20 09:58:42.461192,-14.13,2022-10-20 09:58:42.380756,1460.0,,,,,,
2022-10-20 09:58:42.507752,-14.2,2022-10-20 09:58:42.430171,1630.0,,,,,,
2022-10-20 09:58:42.557740,-13.62,2022-10-20 09:58:42.474020,1620.0,,,,,,
2022-10-20 09:58:42.607809,-13.07,2022-10-20 09:58:42.521596,1510.0,,,,,,
2022-10-20 09:58:42.658432,-13.25,2022-10-20 09:58:42.574973,1660.0,,,,,,
2022-10-20 09:58:42.710827,-14.56,2022-10-20 09:58:42.624953,1690.0,,,,,,
2022-10-20 09:58:42.758952,-14.84,2022-10-20 09:58:42.675040,1640.0,,,,,,
2022-10-20 09:58:42.808739,-13.63,2022-10-20 09:58:42.726830,1680.0,,,,,,
2022-10-20 09:58:42.861548,-15.24,2022-10-20 09:58:42.776779,1600.0,,,,,,
2022-10-20 09:58:42.911217,-17.15,2022-10-20 09:58:42.824956,1660.0,,,,,,
2022-10-20 09:58:42.963624,-18.61,2022-10-20 09:58:42.879554,1570.0,,,,,,
2022-10-20 09:58:43.017169,-18.23,2022-10-20 09:58:42.916222,1630.0,,,,,,
2022-10-20 09:58:43.064364,-16.75,2022-10-20 09:58:42.961554,1680.0,,,,,,
2022-10-20 09:58:43.113239,-18.17,2022-10-20 09:58:43.009114,1380.0,,,,,,
2022-10-20 09:58:43.163476,-19.43,2022-10-20 09:58:43.057325,1340.0,,,,,,
2022-10-20 09:58:43.213965,-18.34,2022-10-20 09:58:43.105139,1380.0,,,,,,
2022-10-20 09:58:43.261113,-17.95,2022-10-20 09:58:43.152736,1390.0,,,,,,
2022-10-20 09:58:43.306169,-18.46,2022-10-20 09:58:43.200937,1510.0,,,,,,
2022-10-20 09:58:43.353701,-19.87,2022-10-20 09:58:43.248985,1420.0,,,,,,
2022-10-20 09:58:43.404805,-21.71,2022-10-20 09:58:43.325173,1300.0,,,,,,
2022-10-20 09:58:43.454873,-21.02,2022-10-20 09:58:43.372756,1280.0,,,,,,
2022-10-20 09:58:43.511799,-19.16,2022-10-20 09:58:43.422269,1280.0,,,,,,
2022-10-20 09:58:43.559154,-19.63,2022-10-20 09:58:43.461873,1270.0,,,,,,
2022-10-20 09:58:43.606876,-19.27,2022-10-20 09:58:43.504793,1290.0,,,,,,
2022-10-20 09:58:43.656696,-16.71,2022-10-20 09:58:43.553142,1420.0,,,,,,
2022-10-20 09:58:43.709577,-10.51,2022-10-20 09:58:43.601062,1510.0,,,,,,
2022-10-20 09:58:43.761414,0.56,2022-10-20 09:58:43.648691,1440.0,,,,,,
2022-10-20 09:58:43.810927,11.54,2022-10-20 09:58:43.696369,1330.0,,,,,,
2022-10-20 09:58:43.863451,13.62,2022-10-20 09:58:43.744560,1340.0,,,,,,
2022-10-20 09:58:43.913370,13.66,2022-10-20 09:58:43.793177,1380.0,,,,,,
2022-10-20 09:58:43.962984,13.33,2022-10-20 09:58:43.840632,1380.0,,,,,,
2022-10-20 09:58:44.013716,15.09,2022-10-20 09:58:43.888620,1280.0,,,,,,
2022-10-20 09:58:44.062932,17.39,2022-10-20 09:58:43.936477,1290.0,,,,,,
2022-10-20 09:58:44.112739,19.67,2022-10-20 09:58:44.000399,1470.0,,,,,,
2022-10-20 09:58:44.162831,21.84,2022-10-20 09:58:44.048473,1650.0,,,,,,
2022-10-20 09:58:44.213898,22.3,2022-10-20 09:58:44.096280,1670.0,,,,,,
2022-10-20 09:58:44.261450,21.97,2022-10-20 09:58:44.144353,1470.0,,,,,,
2022-10-20 09:58:44.306551,21.96,2022-10-20 09:58:44.192409,1480.0,,,,,,
2022-10-20 09:58:44.352607,22.0,2022-10-20 09:58:44.240356,1690.0,,,,,,
2022-10-20 09:58:44.404551,21.94,2022-10-20 09:58:44.288493,1630.0,,,,,,
2022-10-20 09:58:44.454639,23.55,2022-10-20 09:58:44.335620,1580.0,,,,,,
2022-10-20 09:58:44.504525,24.48,2022-10-20 09:58:44.384601,1800.0,,,,,,
2022-10-20 09:58:44.553806,23.46,2022-10-20 09:58:44.431640,2210.0,,,,,,
2022-10-20 09:58:44.603998,21.89,2022-10-20 09:58:44.480638,3010.0,,,,,,
2022-10-20 09:58:44.656221,21.74,2022-10-20 09:58:44.527806,4170.0,,,,,,
2022-10-20 09:58:44.706357,23.13,2022-10-20 09:58:44.591992,5820.0,,,,,,
2022-10-20 09:58:44.756216,24.33,2022-10-20 09:58:44.639992,7910.0,,,,,,
2022-10-20 09:58:44.805767,24.33,2022-10-20 09:58:44.688129,9750.0,,,,,,
2022-10-20 09:58:44.859322,22.97,2022-10-20 09:58:44.735404,11780.0,,,,,,
2022-10-20 09:58:44.909126,21.82,2022-10-20 09:58:44.783340,14380.0,,,,,,
2022-10-20 09:58:44.958756,22.38,2022-10-20 09:58:44.831359,16650.0,,,,,,
2022-10-20 09:58:45.008498,22.39,2022-10-20 09:58:44.879457,18680.0,,,,,,
2022-10-20 09:58:45.058986,22.61,2022-10-20 09:58:44.929387,20790.0,,,,,,
2022-10-20 09:58:45.109089,22.9,2022-10-20 09:58:44.975509,22810.0,,,,,,
2022-10-20 09:58:45.159294,22.07,2022-10-20 09:58:45.023763,25130.0,,,,,,
2022-10-20 09:58:45.211286,22.12,2022-10-20 09:58:45.076834,26990.0,,,,,,
2022-10-20 09:58:45.261518,22.16,2022-10-20 09:58:45.127442,28310.0,,,,,,
2022-10-20 09:58:45.311580,21.31,2022-10-20 09:58:45.174285,28920.0,,,,,,
2022-10-20 09:58:45.365119,20.7,2022-10-20 09:58:45.224461,29720.0,,,,,,
2022-10-20 09:58:45.414581,20.72,2022-10-20 09:58:45.279159,31560.0,,,,,,
2022-10-20 09:58:45.465201,20.53,2022-10-20 09:58:45.327115,32920.0,,,,,,
2022-10-20 09:58:45.514729,20.64,2022-10-20 09:58:45.379123,33960.0,,,,,,
2022-10-20 09:58:45.564507,21.37,2022-10-20 09:58:45.429463,34000.0,,,,,,
2022-10-20 09:58:45.614896,22.35,2022-10-20 09:58:45.484502,34420.0,,,,,,
2022-10-20 09:58:45.668213,23.8,2022-10-20 09:58:45.531530,35250.0,,,,,,
2022-10-20 09:58:45.716212,24.05,2022-10-20 09:58:45.577896,35880.0,,,,,,
2022-10-20 09:58:45.765299,23.68,2022-10-20 09:58:45.617896,35840.0,,,,,,
2022-10-20 09:58:45.811581,24.35,2022-10-20 09:58:45.663212,36730.0,,,,,,
2022-10-20 09:58:45.863931,24.72,2022-10-20 09:58:45.711220,38760.0,,,,,,
2022-10-20 09:58:45.916215,25.16,2022-10-20 09:58:45.759297,39160.0,,,,,,
2022-10-20 09:58:45.966512,25.52,2022-10-20 09:58:45.806588,39160.0,,,,,,
2022-10-20 09:58:46.016063,25.71,2022-10-20 09:58:45.855198,39390.0,,,,,,
2022-10-20 09:58:46.069007,25.87,2022-10-20 09:58:45.902930,40360.0,,,,,,
2022-10-20 09:58:46.118068,25.37,2022-10-20 09:58:45.950807,40970.0,,,,,,
2022-10-20 09:58:46.168291,24.69,2022-10-20 09:58:45.999064,41170.0,,,,,,
2022-10-20 09:58:46.219276,23.74,2022-10-20 09:58:46.063038,41550.0,,,,,,
2022-10-20 09:58:46.275821,23.36,2022-10-20 09:58:46.110722,42310.0,,,,,,
2022-10-20 09:58:46.326821,23.16,2022-10-20 09:58:46.159289,43290.0,,,,,,
2022-10-20 09:58:46.378975,22.89,2022-10-20 09:58:46.206275,42410.0,,,,,,
2022-10-20 09:58:46.429698,23.04,2022-10-20 09:58:46.254817,43280.0,,,,,,
2022-10-20 09:58:46.475931,23.4,2022-10-20 09:58:46.302816,45110.0,,,,,,
2022-10-20 09:58:46.521058,23.13,2022-10-20 09:58:46.350864,44190.0,,,,,,
2022-10-20 09:58:46.571210,22.3,2022-10-20 09:58:46.398963,43870.0,,,,,,
2022-10-20 09:58:46.621312,21.58,2022-10-20 09:58:46.446432,44800.0,,,,,,
2022-10-20 09:58:46.672217,20.49,2022-10-20 09:58:46.495087,44490.0,,,,,,
2022-10-20 09:58:46.722910,19.86,2022-10-20 09:58:46.542300,44740.0,,,,,,
2022-10-20 09:58:46.780374,19.33,2022-10-20 09:58:46.591209,45460.0,,,,,,
2022-10-20 09:58:46.830550,18.57,2022-10-20 09:58:46.638308,44940.0,,,,,,
2022-10-20 09:58:46.883358,17.79,2022-10-20 09:58:46.688903,44890.0,,,,,,
2022-10-20 09:58:46.935002,17.4,2022-10-20 09:58:46.750851,45310.0,,,,,,
2022-10-20 09:58:46.984095,17.0,2022-10-20 09:58:46.798581,45090.0,,,,,,
2022-10-20 09:58:47.035305,16.29,2022-10-20 09:58:46.846569,45350.0,,,,,,
2022-10-20 09:58:47.085377,14.88,2022-10-20 09:58:46.898859,46030.0,,,,,,
2022-10-20 09:58:47.139622,14.04,2022-10-20 09:58:46.949994,45500.0,,,,,,
2022-10-20 09:58:47.189691,13.88,2022-10-20 09:58:46.999652,45610.0,,,,,,
2022-10-20 09:58:47.238987,13.79,2022-10-20 09:58:47.049376,46030.0,,,,,,
2022-10-20 09:58:47.284751,13.84,2022-10-20 09:58:47.089377,46130.0,,,,,,
2022-10-20 09:58:47.334380,13.69,2022-10-20 09:58:47.134267,45240.0,,,,,,
2022-10-20 09:58:47.380599,13.93,2022-10-20 09:58:47.184012,45130.0,,,,,,
2022-10-20 09:58:47.428568,13.93,2022-10-20 09:58:47.230033,46330.0,,,,,,
2022-10-20 09:58:47.479465,13.29,2022-10-20 09:58:47.277754,45910.0,,,,,,
2022-10-20 09:58:47.528468,12.12,2022-10-20 09:58:47.326382,46280.0,,,,,,
2022-10-20 09:58:47.580790,9.55,2022-10-20 09:58:47.374598,46870.0,,,,,,
2022-10-20 09:58:47.637483,5.0,2022-10-20 09:58:47.422597,46860.0,,,,,,
2022-10-20 09:58:47.685882,-3.59,2022-10-20 09:58:47.493461,45280.0,,,,,,
2022-10-20 09:58:47.733255,-12.33,2022-10-20 09:58:47.544461,44760.0,,,,,,
2022-10-20 09:58:47.779357,-18.8,2022-10-20 09:58:47.584782,46320.0,,,,,,
2022-10-20 09:58:47.829268,-21.26,2022-10-20 09:58:47.629977,46270.0,,,,,,
2022-10-20 09:58:47.882371,-21.28,2022-10-20 09:58:47.678140,45800.0,,,,,,
2022-10-20 09:58:47.932052,-21.95,2022-10-20 09:58:47.726004,44760.0,,,,,,
2022-10-20 09:58:47.984769,-24.74,2022-10-20 09:58:47.774215,44660.0,,,,,,
2022-10-20 09:58:48.033877,-27.18,2022-10-20 09:58:47.822267,45470.0,,,,,,
2022-10-20 09:58:48.084030,-27.75,2022-10-20 09:58:47.870364,45210.0,,,,,,
2022-10-20 09:58:48.134415,-28.76,2022-10-20 09:58:47.918129,46000.0,,,,,,
2022-10-20 09:58:48.186051,-29.37,2022-10-20 09:58:47.965769,46050.0,,,,,,
